City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
2,Port Alfred,ZA,67.37,few clouds,-33.5906,26.891,The Halyards Hotel
4,Ushuaia,AR,42.8,light snow,-54.8,-68.3,Albatros Hotel
5,Souillac,MU,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Katsuura,JP,69.01,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
7,Turbat,PK,80.83,clear sky,26.0023,63.044,Mubashar Quarters
8,Nicoya,CR,78.8,clear sky,10.1483,-85.45200000000001,Guayacan Real
9,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
11,Esperance,AU,69.8,broken clouds,-33.8667,121.9,Hospitality Esperance
12,Cidreira,BR,73.51,light rain,-30.1811,-50.2056,Hotel Castelo
13,Selma,US,59.0,few clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
14,Mweka,CD,66.79,overcast clouds,-4.85,21.5667,
15,Rocha,UY,68.0,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
16,Bredasdorp,ZA,60.8,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Dicabisagan,PH,82.85,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
21,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Busselton,AU,73.0,clear sky,-33.65,115.3333,Observatory Guest House
25,Pilar,BR,75.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
26,Olga,RU,44.44,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
27,Masumbwe,TZ,62.17,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
28,Espinosa,BR,67.21,clear sky,-14.9261,-42.8192,Hotel Vilma
30,Puerto Del Rosario,ES,71.6,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
32,Rikitea,PF,79.95,overcast clouds,-23.1203,-134.9692,Pension Maro'i
33,Bluff,NZ,64.0,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
35,Kapaa,US,71.6,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Eyl,SO,77.11,broken clouds,7.9803,49.8164,Amiin Hotel
38,Viedma,AR,52.86,overcast clouds,-40.8135,-62.9967,Hotel Cristal
39,Lebu,CL,52.32,clear sky,-37.6167,-73.65,Hostal Las Lilas
41,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
45,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Kirkuk,IQ,53.62,clear sky,35.4681,44.3922,Cihad Oteli
47,La Solana,ES,48.99,overcast clouds,38.9442,-3.2381,Apartamento Prado
50,Hermanus,ZA,62.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
52,Manokwari,ID,77.7,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
54,New Norfolk,AU,71.01,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
55,Boditi,ET,56.07,scattered clouds,6.9667,37.8667,Me'aza Metasebiya Hotel.
56,Hobart,AU,71.01,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
57,Mar Del Plata,AR,64.99,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
58,Hasaki,JP,68.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
59,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
63,Guerrero Negro,MX,57.2,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
64,Mabaruma,GY,70.92,few clouds,8.2,-59.7833,
65,Mataura,NZ,64.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
67,Carutapera,BR,72.39,overcast clouds,-1.195,-46.02,Lidera
68,Guaraniacu,BR,64.09,scattered clouds,-25.1008,-52.8781,Dalla´s Hotel
69,Bambous Virieux,MU,75.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
70,Jamestown,US,60.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Impfondo,CG,66.42,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
72,Ashqelon,IL,53.6,few clouds,31.6693,34.5715,Leonardo Ashkelon
73,East London,ZA,64.4,scattered clouds,-33.0153,27.9116,Tu Casa
76,Sambava,MG,77.45,overcast clouds,-14.2667,50.1667,Melrose
77,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
79,Chuy,UY,70.11,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Atuona,PF,81.07,scattered clouds,-9.8,-139.0333,Villa Enata
83,Dzilam Gonzalez,MX,76.93,clear sky,21.2833,-88.9333,posadas
84,Kourou,GF,78.8,broken clouds,5.1552,-52.6478,Lodge Takini 4
85,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
87,Lagos,NG,75.96,broken clouds,6.5833,3.75,
88,Oudtshoorn,ZA,71.6,clear sky,-33.5907,22.2014,Earthbound Guest House
89,Saint George,US,55.99,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Ribeira Grande,PT,57.15,broken clouds,38.5167,-28.7,Quinta da Meia Eira
91,Jumla,NP,62.44,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
92,Kavieng,PG,84.25,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Xichang,CN,71.92,clear sky,27.8964,102.2634,Xichang ibis Hotel
96,Dwarka,IN,83.61,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
97,Yambio,SS,70.12,overcast clouds,4.5721,28.3955,Naivasha Hotel
98,Bethel,US,59.0,mist,41.3712,-73.414,Courtyard by Marriott Danbury
99,Faya,SA,62.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
100,Orange Cove,US,57.2,broken clouds,36.6244,-119.3137,
101,Valentin Gomez Farias,MX,50.4,scattered clouds,28.2167,-106.5833,
102,Sierra Vista,US,52.0,clear sky,31.5545,-110.3037,Gateway Studio Suites
103,San Quintin,MX,55.54,clear sky,30.4833,-115.95,Old Mill Hotel
104,Sankt Florian,AT,37.99,overcast clouds,48.2057,14.3784,Hotel Florianerhof
105,Ancud,CL,50.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
106,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Broome,US,61.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
112,Cabo San Lucas,MX,63.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Albany,US,63.0,overcast clouds,42.6001,-73.9662,
114,Comodoro Rivadavia,AR,62.6,clear sky,-45.8667,-67.5,Austral Hotel
115,Hit,IQ,57.27,clear sky,33.6416,42.8251,صالون زيرو
116,Faanui,PF,83.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Baruun-Urt,MN,45.37,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
119,Kaitangata,NZ,64.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
120,Castro,BR,62.42,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
122,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
124,Rafai,CF,69.51,overcast clouds,4.95,23.9167,
125,Temascalcingo,MX,62.01,scattered clouds,19.9167,-100.0,Hotel Villa Real
128,Todos Santos,MX,63.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
129,Avera,US,75.99,clear sky,33.194,-82.5271,
131,Kano,NG,71.6,overcast clouds,12.0001,8.5167,Havana Guest Inn
133,Kapit,MY,74.08,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
134,Scottsbluff,US,41.0,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
135,Kudahuvadhoo,MV,82.78,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
136,Kuruman,ZA,57.25,clear sky,-27.4524,23.4325,Cornerstone Guest House
137,Becal,MX,82.4,clear sky,20.45,-90.0333,Hospedaje
138,Baiyin,CN,46.4,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
139,Yarada,IN,86.0,haze,17.65,83.2667,Jeevan
141,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Pousada Porto Praia
142,Puerto Escondido,MX,77.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
143,Zemio,CF,69.87,overcast clouds,5.0314,25.1361,OCHA Office
144,Contramaestre,CU,77.0,few clouds,20.2978,-76.2414,Hotel Caribeño
146,Noshiro,JP,51.8,scattered clouds,40.2039,140.0242,Azuma Ryokan
147,Punta Arenas,CL,46.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
148,Takoradi,GH,78.15,broken clouds,4.8845,-1.7554,Raybow International Hotel
149,Jieshi,CN,75.0,clear sky,22.8134,115.8257,Yuehai Hotel
151,Torbay,CA,43.0,overcast clouds,47.6666,-52.7314,Gallows Cove
152,Oktyabrskoye,RU,35.6,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
154,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
155,Montepuez,MZ,67.12,scattered clouds,-13.1256,38.9997,Complexo Messalo
156,Shizunai,JP,43.16,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
157,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Oriximina,BR,72.9,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
159,Constitucion,CL,52.21,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
160,Ponta Do Sol,PT,66.2,scattered clouds,32.6667,-17.1,Hotel do Campo
161,Siquinala,GT,77.0,clear sky,14.3076,-90.9661,Hotel Del Pacífico
162,Alugan,PH,83.98,overcast clouds,12.2188,125.4808,JM Lodge
164,Port Moresby,PG,77.0,scattered clouds,-9.4431,147.1797,Lamana Hotel
165,Klaksvik,FO,37.4,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
166,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
167,Santander,ES,48.99,mist,43.4647,-3.8044,Abba Santander Hotel
168,Bengkulu,ID,85.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,South Lake Tahoe,US,37.99,snow,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
170,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
172,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
173,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
174,Wuwei,CN,55.13,scattered clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
179,Tahta,EG,53.6,clear sky,26.7693,31.5021,El Salam Hotel
180,Kieta,PG,84.6,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
181,San Patricio,US,66.2,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
182,Guerrero,MX,66.16,clear sky,17.6667,-100.0,
183,Buin,CL,59.0,clear sky,-33.7333,-70.75,Paihuen
184,Grand Gaube,MU,75.99,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
185,Kodiak,US,42.8,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
187,Sandy Bay,AU,71.01,clear sky,-42.913000000000004,147.3532,St Ives Hobart Accommodation Tasmania
189,Talcahuano,CL,51.8,clear sky,-36.7167,-73.1167,Hotel Terramar
190,Laguna,US,57.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
191,Sainte-Martine,CA,50.0,overcast clouds,45.2501,-73.7992,Motel Sainte Martine
192,Zhanaozen,KZ,40.05,broken clouds,43.3,52.8,K.korabay 28A
193,Lillooet,CA,44.6,clear sky,50.6856,-121.94200000000001,Hotel Victoria
194,Xining,CN,44.83,overcast clouds,36.6167,101.7667,Super Leisure Hotel
195,Arusha,TZ,62.6,broken clouds,-3.3667,36.6833,Graceland Hotel
196,Seoul,KR,62.6,haze,37.5683,126.9778,Lotte Hotel Seoul
199,Vao,NC,77.67,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
200,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
201,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
202,Norsup,VU,83.35,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
206,Agadir,MA,59.0,clear sky,30.4202,-9.5982,Iberostar Founty Beach
207,Kalaleh,IR,51.8,mist,37.3807,55.4916,عطر و ادکلن پارسیس
208,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
209,Galesong,ID,84.2,moderate rain,-5.3166,119.3661,Sapriadi Appy
211,Denpasar,ID,86.0,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
212,Innisfail,AU,85.24,scattered clouds,-17.5333,146.0333,Moondarra Motel
213,Nemuro,JP,44.6,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
214,Piney Green,US,69.8,scattered clouds,34.716,-77.3202,Holiday City Mobile Home Community
215,Acarau,BR,76.91,light rain,-2.8856,-40.12,castelo pizzaria
216,Hami,CN,60.17,clear sky,42.8,93.45,Laoyutang Resort
217,Key Largo,US,77.0,light rain,25.0865,-80.4473,Bayside Inn Key Largo
218,Bulnes,CL,50.0,scattered clouds,-36.7423,-72.2985,"Casa de Adobe, Natural y Más"
219,Antequera,ES,55.0,clear sky,37.0194,-4.5612,Hotel MM Antequera (anterior Hotel Las Villas)
221,Talara,PE,73.11,few clouds,-4.5772,-81.2719,Hostal Oro Negro
224,Ketchikan,US,41.0,light rain,55.3422,-131.6461,Snows Cove Lodge
225,Komsomolskiy,UZ,60.8,scattered clouds,40.4272,71.7189,Ikathouse
226,Haimen,CN,73.4,clear sky,23.1935,116.6142,Jinghao Business Hotel
227,Kloulklubed,PW,84.2,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
228,Codrington,AU,68.65,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
229,Moron,AR,68.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
230,Touros,BR,75.2,heavy intensity rain,-5.1989,-35.4608,INN NEW HORIZON
231,Vallenar,CL,66.22,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
232,Lakatoro,VU,83.34,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
233,Awjilah,LY,48.97,clear sky,29.1081,21.2869,
234,Lexington,US,64.99,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
235,Mendoza,AR,57.2,overcast clouds,-32.8908,-68.8272,Hotel Mendoza
236,Katobu,ID,85.05,moderate rain,-4.9408,122.5276,La Ode Husein
237,Pacific Grove,US,50.0,scattered clouds,36.6177,-121.9166,Lovers Point Inn
238,Gizo,SB,83.73,moderate rain,-8.103,156.8419,Imagination Island
239,Kattivakkam,IN,84.2,mist,13.2167,80.3167,Raj's villa
241,Bonavista,CA,41.0,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
242,Mandera,KE,77.16,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
243,Tukrah,LY,52.29,few clouds,32.5341,20.5791,Lokta restaurant
245,Houma,US,73.4,mist,29.5958,-90.7195,Courtyard by Marriott Houma
247,Sinnamary,GF,76.12,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
248,Vostok,RU,37.0,few clouds,46.4856,135.8833,
251,Dunedin,NZ,64.99,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
252,Taixing,CN,75.0,clear sky,32.1667,120.0136,7Days Inn Taixing Drum Tower South Road
253,Mackay,AU,86.0,clear sky,-21.15,149.2,International Lodge Motel
254,Geraldton,AU,78.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
255,Yaan,NG,76.35,overcast clouds,7.3833,8.5667,
257,Araouane,ML,63.46,clear sky,18.9048,-3.5265,
258,Carnot,CF,67.59,overcast clouds,4.9409,15.8665,
260,Shenandoah,US,70.0,broken clouds,30.4013,-91.0009,Quality Suites Baton Rouge East - Denham Springs
261,Nantucket,US,45.0,mist,41.2835,-70.0995,Jared Coffin House
265,Coihaique,CL,48.2,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
267,Marsaxlokk,MT,52.0,clear sky,35.8419,14.5431,Water's Edge
268,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
269,San Cristobal,VE,66.16,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
270,Havelock,US,71.01,clear sky,34.8791,-76.9013,Sherwood Motel
271,Villamontes,BO,77.58,overcast clouds,-21.25,-63.5,Hotel Raldes
273,Tuatapere,NZ,64.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
274,Sur,OM,79.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
275,Kruisfontein,ZA,60.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
278,Surt,LY,56.01,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
280,Fortuna,US,48.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
281,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
283,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
284,Valley City,US,41.0,few clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
285,Beniganj,IN,84.87,clear sky,27.2833,80.45,ADARS JAN SEVA KENDRA
286,Svetlaya,RU,37.6,scattered clouds,46.5389,138.3297,
287,Adrar,MR,67.08,clear sky,20.5022,-10.0711,
289,Gillette,US,42.8,overcast clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
290,Haverfordwest,GB,51.01,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
291,Kaya,BF,77.72,overcast clouds,13.0917,-1.0844,Maison de l'appelé
292,Kochi,IN,82.4,mist,9.9399,76.2602,Hotel Abad
293,Bull Savanna,JM,73.49,clear sky,17.8868,-77.5902,Big Red's
295,Sao Gabriel Da Cachoeira,BR,73.06,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
296,Port Lincoln,AU,70.02,few clouds,-34.7333,135.8667,Port Lincoln Hotel
297,Ciudad Bolivar,VE,79.54,broken clouds,8.1222,-63.5497,Hotel Edi
298,Airai,TL,74.14,overcast clouds,-8.9266,125.4092,Juvinal Martin
300,Kalmunai,LK,83.82,overcast clouds,7.4167,81.8167,VS Villa
301,Redlands,US,53.6,broken clouds,34.0556,-117.1825,Dynasty Suites Redlands
303,Smithers,CA,39.2,overcast clouds,54.7804,-127.1743,Prestige Hudson Bay Lodge
305,Kentau,KZ,56.05,overcast clouds,43.5206,68.5094,Homestay Betty's B&B
307,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
308,Georgiyevka,KZ,51.8,broken clouds,43.0369,74.7114,Gostinitsa Imperiya
309,Richards Bay,ZA,66.7,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
313,Carnarvon,AU,84.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
316,Plettenberg Bay,ZA,67.24,broken clouds,-34.0527,23.3716,Thanda Vista B&B
317,Valparaiso,CL,46.4,clear sky,-33.0393,-71.6273,Hotel Ultramar
320,Sao Filipe,CV,69.87,few clouds,14.8961,-24.4956,Tortuga B&B
321,Melilla,ES,51.8,clear sky,35.2937,-2.9383,Hotel Nacional
322,Tanout,NE,68.25,overcast clouds,14.9709,8.8879,
323,Mafinga,TZ,63.48,broken clouds,-7.25,35.0667,
324,Bani Walid,LY,47.35,few clouds,31.7566,13.9942,منزل الصابر أبوفانة
325,Olinda,BR,78.8,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
326,Jalu,LY,48.76,clear sky,29.0331,21.5482,صاحبة الفخامة
327,Jutai,BR,72.27,light rain,-5.1833,-68.9,
329,Douentza,ML,72.93,broken clouds,14.9951,-2.9517,Ogomono Doumbo
330,Lamar,US,53.6,clear sky,33.6668,-95.5836,Kings Inn Paris TX
331,Sokoto,NG,78.3,clear sky,13.0609,5.239,Shukura Coral Hotel
332,Hoi An,VN,82.4,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
335,Eureka,US,48.99,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
336,Hovd,MN,49.87,clear sky,48.0056,91.6419,Hotel Khovd
337,Dekar,BW,64.78,broken clouds,-21.5333,21.9333,
339,Trairi,BR,74.41,light rain,-3.2778,-39.2689,janelas do mar
340,Half Moon Bay,US,52.0,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
341,Naberera,TZ,61.3,light rain,-4.2,36.9333,
343,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
344,Opotiki,NZ,71.01,few clouds,-38.0833,177.2833,Agassiz House Opotiki Backpackers
347,Shihezi,CN,47.19,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
348,San Francisco,US,54.0,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
350,Alboraya,ES,48.99,mist,39.5,-0.35,SH Valencia Palace
352,Chipoka,MW,70.99,clear sky,-13.9933,34.5157,The Cichlids Lodge
353,Taitung,TW,80.6,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
354,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
355,Bonthe,SL,76.66,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
356,Namibe,AO,72.19,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
357,Gamba,GA,72.55,overcast clouds,-2.65,10.0,
358,Mbini,GQ,75.2,few clouds,1.574,9.6134,
359,Meulaboh,ID,80.06,overcast clouds,4.1363,96.1285,Kost Pria
360,Fonte Boa,BR,73.96,moderate rain,-2.4959,-66.2662,
361,Yala,TH,77.0,light rain,6.3333,101.25,งานแต่ง Murnee - Wahid
363,Lasa,IT,42.01,clear sky,46.6166,10.7002,Pension Feldgärtenhof
367,Pergamino,AR,66.99,overcast clouds,-33.89,-60.5736,Hotel Fachinat
369,Selenginsk,RU,41.0,clear sky,52.0064,106.8647,Selenga
370,Abha,SA,62.6,clear sky,18.2164,42.5053,Abha Hotel
372,Kolokani,ML,77.31,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
